Year,COD_F01,COD_F03,COD_F04,COD_F05,COD_F06,COD_F07,COD_F09,COD_F10,COD_F11,COD_F12,COD_F13,COD_F14,COD_F15,COD_F17,COD_F18,COD_F19,COD_F20,COD_F21,COD_F22,COD_F23,COD_F25,COD_F29,COD_F30,COD_F31,COD_F32,COD_F33,COD_F34,COD_F38,COD_F39,COD_F40,COD_F41,COD_F42,COD_F43,COD_F44,COD_F45,COD_F48,COD_F50,COD_F54,COD_F55,COD_F60,COD_F68,COD_F69,COD_F70,COD_F71,COD_F72,COD_F73,COD_F79,COD_F82,COD_F83,COD_F84,COD_F89,COD_F91,COD_F99
2000,368,4189,8,40,256,4,0,653,7,0,2,9,0,40,0,50,103,0,10,2,7,5,0,21,101,13,3,0,0,0,5,1,3,1,1,1,19,2,0,2,0,1,0,0,3,6,47,0,0,7,0,0,1
2001,362,4449,4,46,219,5,1,686,8,0,0,15,1,38,1,50,89,0,7,1,3,5,0,17,114,18,1,0,0,0,5,2,1,0,1,0,27,1,1,3,1,0,0,0,8,9,41,0,0,3,1,0,0
2002,308,4727,16,83,183,2,0,732,1,0,0,14,0,57,0,68,106,0,11,0,6,5,0,25,121,1,1,0,0,0,1,0,1,0,1,0,28,0,1,2,0,2,0,0,4,2,32,0,0,3,3,0,0
2003,365,4842,11,78,149,9,0,666,3,1,2,16,0,66,2,90,92,0,7,1,7,3,0,18,109,4,0,1,1,0,7,0,0,0,0,0,17,1,1,1,0,1,0,0,5,4,39,0,0,2,0,0,1
2004,332,5055,10,108,117,7,1,720,11,0,0,20,0,65,2,81,80,0,7,0,6,6,1,20,92,6,1,0,1,1,7,3,4,0,0,1,20,0,1,1,0,0,0,0,8,1,37,0,0,4,0,0,3
2005,659,5591,7,116,102,14,0,693,6,0,0,27,1,76,0,96,102,0,12,0,7,4,1,25,112,0,1,0,1,1,6,0,2,0,0,1,32,1,1,2,0,0,0,0,6,3,36,1,0,4,1,0,0
2006,1267,7134,9,128,61,6,0,702,9,0,1,31,0,59,3,78,99,0,8,0,7,3,0,19,99,5,0,0,0,1,5,1,5,1,1,0,33,2,1,0,0,0,0,0,9,3,42,0,0,8,1,0,0
2007,752,8127,13,170,62,1,0,655,4,1,1,34,0,16,0,108,117,0,11,0,7,3,0,15,111,3,1,0,0,0,2,1,5,1,0,1,19,1,0,1,0,0,0,0,9,6,38,0,0,11,0,0,2
2008,1482,8720,14,182,58,2,0,655,7,0,1,19,1,19,0,93,82,0,7,0,8,5,0,27,84,2,0,0,0,0,11,0,1,0,0,0,13,3,2,0,0,0,0,0,7,2,23,0,0,3,0,0,2
2009,1079,9429,8,218,50,4,1,644,7,1,2,16,0,18,0,77,105,0,7,1,4,3,0,23,90,2,0,0,0,0,5,0,1,1,0,0,18,1,0,0,0,0,0,1,11,3,36,0,0,7,1,0,1
2010,1087,10228,6,247,50,3,1,679,7,0,0,7,0,20,1,83,80,0,4,0,11,5,0,30,92,1,0,0,0,0,8,1,3,0,0,1,14,1,1,1,0,0,0,1,11,4,35,0,0,8,3,0,1
2011,1154,11338,8,294,48,5,0,710,6,0,0,19,2,23,1,92,93,0,3,0,8,1,0,22,103,3,0,0,1,0,5,0,5,0,0,0,9,0,0,1,0,0,0,0,14,2,22,0,0,6,3,1,0
2012,1170,12324,11,271,39,2,1,751,11,1,0,13,1,26,0,88,66,0,3,0,6,4,0,18,91,2,1,0,0,0,2,0,4,2,0,0,16,0,1,1,0,0,0,0,10,4,30,0,0,5,4,0,1
2013,1412,13983,12,307,44,52,1,796,13,1,0,20,4,6,0,106,64,0,7,0,9,4,0,27,84,3,0,0,0,1,2,0,0,0,0,0,10,1,5,2,0,4,1,0,3,0,7,0,0,7,5,0,0
2014,1495,15236,0,292,45,1,0,859,8,3,0,16,2,3,0,100,95,0,4,0,7,3,0,26,74,11,1,0,0,0,3,1,2,0,1,0,15,0,9,1,0,6,0,0,14,0,34,0,0,9,0,0,0
2015,1415,16141,0,277,50,3,1,874,12,0,0,19,5,2,0,104,90,0,4,0,3,3,0,24,76,12,1,0,0,0,4,0,6,0,1,0,17,0,5,3,0,3,0,0,3,11,35,0,1,7,3,0,1
2016,1545,17104,0,326,41,1,0,899,12,2,2,13,5,9,1,136,77,0,4,0,6,4,0,23,79,13,0,0,2,0,3,0,5,3,1,0,18,0,5,2,0,4,0,0,2,1,28,1,0,8,1,0,2
2017,1773,19394,0,126,35,0,4,944,16,2,0,27,10,12,1,149,73,0,9,0,11,6,0,36,76,19,0,0,1,0,3,0,0,1,0,1,15,0,6,3,0,11,0,0,2,20,29,0,0,5,3,0,1
2018,1851,21143,0,110,38,1,18,863,10,1,0,18,5,24,0,139,95,0,4,0,11,9,0,28,72,13,1,0,3,0,1,0,4,1,0,0,10,0,1,1,0,0,0,0,2,9,36,0,0,4,8,0,0
2019,2046,21873,0,144,35,0,1,904,12,2,2,20,8,10,0,132,82,1,6,1,15,4,1,35,93,18,1,0,0,0,1,1,7,1,0,0,12,0,2,1,0,6,1,1,3,4,37,0,0,16,11,0,1
